Neighborhood,City,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Sutton Place Hotel Vancouver,49.28264004904225,-123.12387529266849,Hotel
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Robert Lee YMCA,49.28175183686333,-123.12519293179268,Gym
Downtown ,Metro Vanouver,49.2859975,-123.1273582,YYoga Downtown Flow,49.28223329128768,-123.1242174200977,Yoga Studio
Downtown ,Metro Vanouver,49.2859975,-123.1273582,JOEY Burrard,49.282864441203294,-123.12349536756916,New American Restaurant
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Miniso,49.28407274279152,-123.12389494696406,Miscellaneous Shop
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Wedgewood Hotel,49.28216333727451,-123.12223713622552,Hotel
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Greenhorn Cafe,49.286628,-123.134038,Café
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Sura,49.28898734117397,-123.13153133499948,Korean Restaurant
Downtown ,Metro Vanouver,49.2859975,-123.1273582,The Fairmont Hotel Vancouver,49.283805486323196,-123.120944,Hotel
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Robson Square,49.281880886701984,-123.12367137102376,Plaza
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Hubbub Sandwiches,49.282078,-123.12287,Sandwich Place
Downtown ,Metro Vanouver,49.2859975,-123.1273582,CB2,49.28589,-123.126913,Furniture / Home Store
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Nelson Park,49.28256008549032,-123.12922954559326,Park
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Soirette Macarons & Tea,49.289653998241945,-123.12799328541715,Café
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Scotiabank Theatres,49.28195011448096,-123.12422359113701,Movie Theater
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Coal Harbour Seawall,49.291304,-123.123276,Waterfront
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Barclay Heritage Square,49.287225,-123.132182,Park
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Hawksworth Restaurant,49.28336228267866,-123.11946181255522,Lounge
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Shizen Ya,49.28088036111347,-123.12455177307127,Japanese Restaurant
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Bacchus Lounge,49.282187144640716,-123.12233347636403,French Restaurant
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Harbour Green Park,49.290062155858095,-123.12171936035156,Park
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Banana Republic,49.284575723794916,-123.12490196147498,Clothing Store
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Rosewood Hotel Georgia,49.28342914255638,-123.1189107326352,Hotel
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Vancouver Art Gallery,49.28282718363111,-123.12045708766203,Art Gallery
Downtown ,Metro Vanouver,49.2859975,-123.1273582,COBS Bread,49.28137872050481,-123.1326676047977,Bakery
Downtown ,Metro Vanouver,49.2859975,-123.1273582,lululemon athletica,49.2830358,-123.1229085,Clothing Store
Downtown ,Metro Vanouver,49.2859975,-123.1273582,A Taste of India,49.28690661703793,-123.12810112247367,Indian Restaurant
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Pacifico Pizzeria Ristorante,49.28206768119204,-123.12407877967489,Italian Restaurant
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Black + Blue,49.28454768542656,-123.12287271022797,Steakhouse
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Cardero Bottega,49.287024,-123.135833,Sandwich Place
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Cardero's Restaurant,49.291655022421565,-123.12768553007116,Seafood Restaurant
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Score On Davie,49.282344593296706,-123.1344812658901,Pub
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Gyu-Kaku Japanese BBQ,49.28027716380092,-123.12483759025491,Japanese Restaurant
Downtown ,Metro Vanouver,49.2859975,-123.1273582,La Belle Patate,49.28197746535216,-123.13362284301661,Restaurant
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Sala Thai,49.28242,-123.124123,Thai Restaurant
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Little Sister's Bookstore,49.28205896874118,-123.13437333586184,Bookstore
Downtown ,Metro Vanouver,49.2859975,-123.1273582,Hy's Steakhouse,49.28467585547085,-123.11916330540294,Steakhouse
