,Neighborhood,City,Latitude,Longitude
54,Henry Farm,Toronto,43.7695089,-79.354296
55,Oriole,Toronto,43.765498,-79.3642688
56,Northwood Park,Toronto,43.7541351,-79.50448
57,York University,Toronto,43.7743325,-79.50027054016516
58,East Toronto,Toronto,43.626243,-79.396962
59,Broadview North (Old East York),Toronto,43.6839216,-79.3569421
60,Harbourfront East,Toronto,43.6400801,-79.3801495
61,Union Station,Toronto,43.6446934,-79.38013200585965
62,Toronto Islands,Toronto,43.6230544,-79.39431563721035
63,Little Portugal,Toronto,43.64741325,-79.43111632546047
64,Trinity,Toronto,43.665301549999995,-79.39525214965947
65,Kennedy Park,Toronto,43.724878,-79.2539688
66,Ionview,Toronto,43.7359904,-79.2765146
67,East Birchmount Park,Toronto,43.7141672,-79.271109
68,Bayview Village,Toronto,43.7691966,-79.3766617
69,Downsview,Toronto,43.7492988,-79.462248
70,The Danforth West,Toronto,43.6864333,-79.3003555
71,Riverdale,Toronto,43.6654704,-79.3525936
72,Toronto Dominion Centre,Toronto,43.6473768,-79.3813719429129
73,Design Exchange,Toronto,43.6477412,-79.3801145
74,Brockton,Toronto,43.6509173,-79.4400216
75,Parkdale Village,Toronto,43.6404954,-79.4368965
76,Exhibition Place,Toronto,43.6335207,-79.4177242473176
77,Golden Mile,Toronto,43.7278414,-79.2876217
78,Clairlea,Toronto,43.7088231,-79.2959856
79,Oakridge,Toronto,43.6971738,-79.2748232
80,York Mills,Toronto,43.7440391,-79.406657
81,Silver Hills,Toronto,43.7612224,-79.3683818
82,India Bazaar,Toronto,43.6722231,-79.3235032
83,The Beaches West,Toronto,43.6710244,-79.296712
84,Commerce Court,Toronto,43.648163800000006,-79.37776594404383
85,Victoria Hotel,Toronto,43.66946915,-79.37326825
86,North Park,Toronto,43.7186899,-79.4775337
87,Maple Leaf Park,Toronto,43.7158241,-79.49341621107953
88,Upwood Park,Toronto,43.708654499999994,-79.50254644741823
89,Humber Summit,Toronto,43.7600778,-79.5717598
90,Cliffside,Toronto,43.7111699,-79.2481769
91,Cliffcrest,Toronto,43.7218363,-79.2362138
92,Scarborough Village West,Toronto,43.7437422,-79.2116324
93,Willowdale,Toronto,43.7615095,-79.4109234
94,Newtonbrook,Toronto,43.795986,-79.4130896
95,Studio District,Toronto,43.64958515,-79.39068322559326
96,Bedford Park,Toronto,43.7373876,-79.4109253
97,Lawrence Manor East,Toronto,43.7220788,-79.4375067
98,Mount Dennis,Toronto,43.6869597,-79.4895513
99,Humberlea,Toronto,43.7213166,-79.5331605
100,Emery,Toronto,43.7520744,-79.5423657
101,Birch Cliff,Toronto,43.6918051,-79.2644935
102,Cliffside West,Toronto,43.7111699,-79.2481769
103,Willowdale East,Toronto,43.7615095,-79.4109234
104,Lawrence Park,Toronto,43.729199,-79.4032525
105,Roselawn,Toronto,43.7087103,-79.4097894
106,Runnymede,Toronto,43.6517026,-79.4759978
107,The Junction North,Toronto,43.6654775,-79.470352
108,Weston,Toronto,43.7001608,-79.5162474
109,Dorset Park,Toronto,43.7528467,-79.282067
110,Wexford Heights,Toronto,43.7432421,-79.304641
