,category,Occurrence
275,Nail Salon,1
276,Mountain,1
277,Motel,1
278,Monument / Landmark,1
279,Mini Golf,1
280,German Restaurant,1
281,Marijuana Dispensary,1
282,Locksmith,1
283,Library,1
284,Kitchen Supply Store,1
285,Kids Store,1
286,Insurance Office,1
287,Airport Service,1
288,Indie Movie Theater,1
289,Indian Chinese Restaurant,1
290,Hostel,1
291,Health & Beauty Service,1
292,Gym Pool,1
293,Inn,1
